site_id,site_name,site_address,site_city,site_county,site_state,site_zip,site_latitude,site_longitude,site_setting,is_indirect,is_direct,is_pse
18404,Ellsworth WIC,412 Kinne Street,Ellsworth,Pierce,WI,54011,44.733431,-92.484949,WIC clinics,1,1,0
17458,Baldwin WIC,1960 8th Avenue,Baldwin,St. Croix,WI,54002,44.947918,-92.374017,WIC clinics,1,1,0
18535,River Falls WIC,1234 Wasson Lane,River Falls,Pierce,WI,54022,44.844974,-92.608427,WIC clinics,1,1,0
61957,Amery WIC,240 Elm Streeet,Amery,Polk,WI,54001,45.309056,-92.364658,WIC clinics,1,1,0
61960,Resurrection Lutheran,1024 Shawano Ave,Green Bay,Brown,WI,54303,44.521974,-88.036264,,1,1,0
58807,Trempealeau County Health Care Center,W20298 WI 121,Whitehall,Trempealeau,WI,54773,44.443778,-91.285758,,1,1,0
62284,Portage Food Pantry,405 E. Howard Street,Portage,Columbia,WI,53901,43.545074,-89.455268,"Food assistance sites, food banks, and food pantries",1,0,1
62287,Dodge County WIC Clinic,199 County Road DF,Juneau,Dodge,WI,53039,43.372221,-88.710157,WIC clinics,1,0,0
18377,Beaver Dam Food Pantry,134 South Spring Street,Beaver Dam,Dodge,WI,53916,43.4550886,-88.8372018,"Food assistance sites, food banks, and food pantries",1,0,1
17940,Keller Elementary School,1806 Bond Street,Green Bay,Brown,WI,54303,44.541013,-88.0657047,"Schools (K-12, elementary, middle, and high)",1,1,0
17884,Fort Howard Elementary School,520 Dousman Street,Green Bay,Brown,WI,54303,44.5204475,-88.021354,"Schools (K-12, elementary, middle, and high)",1,1,0
18709,Glenwood City WIC,128 East Elm Street,Glenwood City,St. Croix,WI,54013,45.0598509,-92.1710981,WIC clinics,1,0,0
67239,Barron County Government Center,335 E Monroe Ave,Barron,Barron,WI,54812,,,"Other places people go to ""work""",1,0,0
47304,Bethel Lutheran Church,N29280 Loesel Lane,Arcadia,Trempealeau,WI,54612,44.251711,-91.387699,,1,1,0
37035,Jackson County Food Pantry - Gebhart Elementary,411 Gebhardt Road,Black River Falls,Jackson,WI,54615,44.281807,-90.842072,,1,1,0
15015,Menomonee Falls Food Pantry,N85 W15382 Menomonee River Parkway,Menomonee Falls,Waukesha,WI,53051,43.17396,-88.10185,"Food assistance sites, food banks, and food pantries",1,1,0
67164,Headstart Oconomowoc,815 S Concord Road,Oconomowoc,Waukesha,WI,53066,43.101197,-88.514912,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,1,0
15120,Pregnancy Help Center,234 N. Main Street,Rice Lake,Barron,WI,54868,45.5038293,-91.73359971,"Other places people go to ""learn""",1,1,0
15008,Food Pantry of Waukesha County,1301 Sentry Drive,Waukesha,Waukesha,WI,53186,42.989739,-88.248898,"Food assistance sites, food banks, and food pantries",1,1,1
15051,Sussex Outreach Services,N64 W23760 Main Street,Sussex,Waukesha,WI,53089,43.134258,-88.22016,Family resource centers,1,1,0
67365,Bruce Elementary School,104 W.Washington Ave,Bruce,Rusk,WI,54819,,,"Schools (K-12, elementary, middle, and high)",1,1,0
15101,School District of Mellen,420 South Main Street,Mellen,Ashland,WI,54546,46.32269348,-90.6606577,"Schools (K-12, elementary, middle, and high)",1,1,0
15104,Bayfield School District,300 North 4th Street,Bayfield,Bayfield,WI,54814,46.815143,-90.819396,"Schools (K-12, elementary, middle, and high)",1,1,0
67495,Northwestern Elementary,10465 US - 2,Poplar,Douglas,WI,54864,,,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,1,0
67555,Sr. Connections,1805 N. 16th St.,Superior,Douglas,WI,54880,46.719459,-92.103959,Congregate meal sites & other senior nutrition centers,1,0,0
16535,Northern Lights Elementary,1201 N.28th St,Superior,Douglas,WI,54880,46.70829615,-92.09534623,"Schools (K-12, elementary, middle, and high)",1,1,1
18726,Prescott WIC,206 Locust Street,Prescott,Pierce,WI,54021,44.750359,-92.800122,WIC clinics,1,0,0
15007,Eagle Community Food Pantry,136 Waukesha Road,Eagle,Waukesha,WI,53119,42.879944,-88.475444,"Food assistance sites, food banks, and food pantries",1,0,0
38770,Hartland Food Pantry,555 S Industrial Drive,Hartland,Waukesha,WI,53029,43.095724,-88.361139,"Food assistance sites, food banks, and food pantries",1,0,0
38769,Kettle Moraine Food Pantry,705 W Tomlin Rd (Hwy E),Wales,Waukesha,WI,53183,42.98892,-88.385322,"Food assistance sites, food banks, and food pantries",1,0,0
59147,Head Start Green Bay,1150 Bellevue St.,Green Bay,Brown,WI,54302,44.488843,-87.994905,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,1,0
